fdc_id,food_code,description,wweia_category_number,wweia_category_description,state_hint,kcal_per_100g,protein_g_per_100g,carbs_g_per_100g,fat_g_per_100g,fiber_g_per_100g,sugar_g_per_100g,sodium_mg_per_100g,atwater_kcal,atwater_ratio,publication_date
2706861,27450650,"Shellfish mixture and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce",3006,Seafood mixed dishes,,111,6.25,5.92,6.92,1.1,1.57,317,111.0,1.000,2022-10-28
2706859,27450600,"Shellfish mixture and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",3404,Stir-fry and soy-based sauce mixtures,,120,9.41,5.89,6.38,1.2,1.5,247,118.6,0.989,2022-10-28
2706336,26300000,"Shellfish, NFS",2404,Shellfish,,146,15.46,4.9,6.67,0.2,0.07,348,141.5,0.969,2022-10-28
2706594,27311510,Shepherd's pie,3002,Meat mixed dishes,,123,7.64,8.72,6.3,1.5,1.88,264,122.1,0.993,2022-10-28
2705677,13150000,"Sherbet, all flavors",5802,Ice cream and frozen dairy desserts,,144,1.1,30.4,2,1.3,24.32,46,144.0,1.000,2022-10-28
2710611,92804000,Shirley Temple,7204,Fruit drinks,,56,0,14.17,0,0.1,12.55,9,56.7,1.012,2022-10-28
2710167,81203000,"Shortening, NS as to vegetable or animal",8004,Margarine,,884,0,0,99.97,0,0,4,899.7,1.018,2022-10-28
2706558,27250130,Shrimp and noodles with cheese sauce,3006,Seafood mixed dishes,,136,8.18,13.45,5.37,0.6,0.24,192,134.8,0.992,2022-10-28
2706556,27250126,Shrimp and noodles with cream or white sauce,3006,Seafood mixed dishes,,143,7.14,16.25,5.32,0.7,1.66,162,141.4,0.989,2022-10-28
2706554,27250122,Shrimp and noodles with gravy,3006,Seafood mixed dishes,,131,6.02,14.7,5.18,0.6,0.3,178,129.5,0.989,2022-10-28
2706555,27250124,Shrimp and noodles with mushroom sauce,3006,Seafood mixed dishes,,133,6.31,15.05,5.24,0.8,0.79,226,132.6,0.997,2022-10-28
2706557,27250128,Shrimp and noodles with soy-based sauce,3404,Stir-fry and soy-based sauce mixtures,,141,10.22,8.17,7.25,0.6,0.87,276,138.8,0.984,2022-10-28
2706559,27250132,Shrimp and noodles with tomato sauce,3006,Seafood mixed dishes,,134,6.46,15.39,5.22,1.1,1.36,172,134.4,1.003,2022-10-28
2706553,27250120,"Shrimp and noodles, no sauce",3006,Seafood mixed dishes,,146,7.3,16.43,5.5,0.8,0.26,144,144.4,0.989,2022-10-28
2706852,27450405,"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",3006,Seafood mixed dishes,,124,9.25,6.78,6.87,1.3,1.2,41,126.0,1.016,2022-10-28
2706854,27450420,"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",3404,Stir-fry and soy-based sauce mixtures,,118,9.47,4.86,6.64,1,1.56,242,117.1,0.992,2022-10-28
2707120,28154010,"Shrimp and vegetables in sauce with noodles, diet frozen meal",3006,Seafood mixed dishes,,91,5.29,13.45,1.72,1.5,1.87,456,90.4,0.994,2022-10-28
2706851,27450400,"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",3006,Seafood mixed dishes,,118,9.35,3.8,7.25,1.6,1.37,59,117.8,0.999,2022-10-28
2706853,27450410,"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",3404,Stir-fry and soy-based sauce mixtures,,116,9.16,5.15,6.4,1.2,1.5,247,114.8,0.990,2022-10-28
2708246,54406200,Shrimp chips,5004,"Tortilla, corn, other chips",,426,7.14,59.09,17.86,5.6,21.43,571,425.7,0.999,2022-10-28
2706712,27350050,Shrimp chow mein or chop suey with noodles,3402,Fried rice and lo/chow mein,,117,9.05,11.37,4.03,1.5,1.51,335,118.0,1.008,2022-10-28
2706827,27450040,"Shrimp chow mein or chop suey, no noodles",3402,Fried rice and lo/chow mein,,69,8.8,4.27,1.69,0.8,1.72,263,67.5,0.978,2022-10-28
2706449,27150110,Shrimp cocktail,2404,Shellfish,,99,13.24,7.92,1.22,0.4,2.96,502,95.6,0.966,2022-10-28
2706856,27450450,"Shrimp creole, no rice",3006,Seafood mixed dishes,,124,14.33,4.51,5.16,1,1.32,153,121.8,0.982,2022-10-28
2706713,27350060,"Shrimp creole, with rice",3006,Seafood mixed dishes,,123,10.12,11.92,3.64,0.8,0.96,436,120.9,0.983,2022-10-28
2707196,32105230,Shrimp egg foo yung,3404,Stir-fry and soy-based sauce mixtures,,125,11.69,5.2,6.16,0.3,3.07,340,123.0,0.984,2022-10-28
2706841,27450110,"Shrimp garden salad, shrimp, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing",3006,Seafood mixed dishes,,65,8.28,2.77,2.04,0.8,1.25,289,62.6,0.962,2022-10-28
2706842,27450120,"Shrimp garden salad, shrimp, lettuce, eggs, vegetables excluding tomato and carrots, no dressing",3006,Seafood mixed dishes,,67,8.8,2.39,2.14,0.7,1.01,303,64.0,0.956,2022-10-28
2707142,28355440,Shrimp gumbo,3006,Seafood mixed dishes,,61,6.52,4.63,1.89,0.9,1.78,377,61.6,1.010,2022-10-28
2706465,27151050,"Shrimp in garlic sauce, Puerto Rican style",3006,Seafood mixed dishes,,281,11.56,2.45,24.96,0.2,0.47,476,280.7,0.999,2022-10-28
